AR_w,S_w,b_w,W0_kgf
7.5,120.0,30.0,44578.28359398845
7.55,119.20529801324504,30.0,44493.69595496086
7.6,118.42105263157896,30.0,44410.362941919135
7.65,117.6470588235294,30.000000000000004,44328.25676245866
7.7,116.88311688311688,29.999999999999996,44247.350451468825
7.75,116.12903225806451,30.000000000000004,44167.61784043087
7.8,115.38461538461539,30.000000000000004,44088.5726840089
7.85,114.64968152866243,30.000000000000004,44011.098584989646
7.9,113.92405063291139,30.0,43934.97160960053
7.95,113.20754716981132,30.0,43859.68072435306
8.0,112.5,30.0,43785.43824815051
8.05,111.80124223602483,30.0,43712.23348168342
8.1,111.11111111111111,29.999999999999996,43640.0394969076
8.15,110.42944785276073,30.000000000000004,43568.83553058907
8.2,109.75609756097562,30.000000000000004,43498.601393979974
8.25,109.0909090909091,30.0,43429.31745298718
8.3,108.43373493975902,30.0,43360.96460915972
8.35,107.78443113772455,30.000000000000004,43293.52428145548
8.4,107.14285714285714,30.0,43226.51798096899
8.45,106.50887573964498,30.0,43160.843588403965
8.5,105.88235294117646,29.999999999999996,43096.02920345105
8.55,105.26315789473684,30.0,43032.05813251774
8.6,104.65116279069768,30.0,42968.914119410336
8.65,104.04624277456647,30.0,42906.58133102677
8.7,103.44827586206897,29.999999999999996,42845.04434360942
8.75,102.85714285714286,29.999999999999996,42784.28812953258
8.8,102.27272727272727,30.0,42724.29804460014
8.85,101.69491525423729,30.0,42665.05981583104
8.9,101.12359550561797,30.0,42606.5595297104
8.95,100.5586592178771,30.0,42548.78362088574
9.0,100.0,30.0,42491.71886128876
9.05,99.44751381215468,29.999999999999996,42435.35234966412
9.1,98.9010989010989,30.0,42379.67150148727
9.15,98.36065573770492,29.999999999999996,42324.66403925482
9.2,97.82608695652175,30.0,42270.29739090746
9.25,97.29729729729729,29.999999999999996,42216.60096251337
9.3,96.77419354838709,30.0,42163.54284330481
9.35,96.25668449197862,30.0,42111.11189342191
9.4,95.74468085106382,30.000000000000004,42059.29723654196
9.45,95.23809523809524,29.999999999999996,42008.08825209397
9.5,94.73684210526316,30.000000000000004,41957.47456774829
9.55,94.24083769633508,30.000000000000004,41907.446052170744
9.6,93.75,30.0,41857.99280803011
9.65,93.2642487046632,29.999999999999996,41809.273728367945
9.7,92.78350515463919,30.0,41761.12490070017
9.75,92.3076923076923,29.999999999999996,41713.36612309735
9.8,91.83673469387755,30.000000000000004,41666.497342447525
9.85,91.37055837563452,30.0,41661.34193184682
9.9,90.9090909090909,30.000000000000004,41656.56435073754
9.95,90.45226130653268,30.000000000000004,41652.1089035936
10.0,90.0,30.0,41647.99879722939
10.05,89.55223880597015,30.0,41644.231001941625
10.1,89.10891089108911,30.0,41640.80256548149
10.15,88.66995073891626,30.0,41637.7106114313
10.2,88.23529411764706,29.999999999999996,41634.952337632356
10.25,87.8048780487805,30.000000000000004,41632.525014662686
10.3,87.37864077669903,30.000000000000004,41630.42598436274
10.35,86.95652173913044,30.0,41628.65265840773
10.4,86.53846153846153,30.0,41627.202516925056
10.45,86.1244019138756,30.0,41626.07310715538
10.5,85.71428571428571,29.999999999999996,41625.26204215602
10.55,85.30805687203791,30.0,41624.76699954547
10.6,84.90566037735849,29.999999999999996,41624.58572028754
10.65,84.50704225352112,30.0,41624.71801597003
10.7,84.11214953271029,30.0,41625.15769633854
10.75,83.72093023255815,30.000000000000004,41626.0082578881
10.8,83.33333333333333,30.0,41627.05846678592
10.85,82.94930875576037,30.0,41628.411939757876
10.9,82.56880733944953,30.0,41630.066771210506
10.95,82.19178082191782,30.0,41632.021111329545
11.0,81.81818181818181,30.0,41634.27316514079
11.05,81.44796380090497,30.0,41636.82993577015
11.100000000000001,81.08108108108107,30.0,41639.67194926969
11.15,80.71748878923766,30.0,41642.806599752206
11.2,80.35714285714286,30.0,41646.754445812956
11.25,80.0,30.0,41650.44929755232
